,Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6,id
0,-89,-78,-88,-54,-63,-100,-59,-87,-90,-92,-90,-100,0
1,-89,-72,-88,-55,-64,-100,-60,-87,-90,-92,-90,-100,0
2,-89,-71,-88,-57,-65,-100,-59,-87,-90,-92,-90,-100,0
3,-89,-70,-88,-57,-63,-100,-61,-87,-90,-92,-90,-100,0
4,-89,-70,-88,-52,-62,-100,-59,-87,-92,-92,-90,-100,0
5,-89,-71,-88,-52,-63,-100,-58,-88,-89,-92,-90,-100,0
6,-89,-69,-84,-53,-63,-100,-57,-86,-92,-92,-90,-100,0
7,-89,-73,-88,-54,-63,-100,-100,-87,-90,-92,-90,-100,0
8,-89,-71,-88,-52,-63,-100,-59,-85,-91,-92,-80,-100,0
9,-89,-71,-88,-52,-63,-100,-58,-87,-89,-92,-90,-100,0
10,-89,-73,-88,-53,-64,-100,-58,-87,-92,-92,-90,-100,0
11,-89,-71,-88,-55,-62,-100,-60,-87,-92,-92,-90,-100,0
12,-89,-71,-88,-54,-64,-100,-60,-87,-90,-92,-90,-100,0
13,-89,-70,-88,-55,-65,-100,-60,-90,-90,-92,-90,-100,0
14,-89,-71,-88,-52,-62,-100,-60,-88,-90,-92,-90,-100,0
15,-89,-71,-88,-56,-64,-100,-60,-89,-90,-92,-90,-100,0
16,-89,-71,-88,-52,-64,-100,-59,-87,-90,-92,-90,-100,0
17,-89,-71,-88,-53,-64,-100,-59,-87,-91,-92,-90,-100,0
18,-89,-71,-88,-54,-65,-100,-60,-87,-93,-94,-90,-100,0
19,-89,-72,-88,-53,-64,-100,-61,-87,-90,-92,-90,-100,0
20,-89,-73,-88,-52,-64,-100,-61,-90,-90,-92,-90,-100,0
21,-89,-71,-88,-53,-63,-100,-61,-88,-94,-92,-90,-100,0
22,-89,-71,-88,-54,-64,-100,-60,-89,-93,-92,-90,-100,0
23,-89,-70,-88,-53,-60,-100,-59,-87,-88,-92,-90,-100,0
24,-89,-70,-88,-52,-64,-100,-58,-87,-90,-92,-90,-100,0
25,-89,-70,-88,-51,-68,-100,-62,-87,-90,-92,-90,-100,0
26,-89,-70,-92,-54,-59,-100,-58,-87,-90,-92,-90,-100,0
27,-89,-68,-87,-51,-64,-100,-57,-87,-89,-85,-90,-100,0
28,-89,-72,-89,-51,-64,-100,-59,-87,-94,-92,-93,-100,0
29,-89,-71,-88,-52,-64,-100,-59,-87,-90,-92,-92,-100,0
30,-89,-72,-88,-55,-64,-100,-59,-89,-90,-92,-90,-100,0
31,-89,-70,-88,-52,-64,-100,-57,-87,-90,-92,-90,-100,0
32,-89,-73,-88,-52,-64,-100,-61,-88,-93,-92,-90,-100,0
33,-89,-72,-88,-57,-64,-100,-62,-88,-92,-92,-90,-100,0
34,-89,-72,-88,-53,-64,-100,-59,-87,-90,-92,-90,-100,0
35,-89,-70,-88,-54,-64,-100,-58,-84,-90,-93,-90,-100,0
36,-89,-69,-88,-53,-64,-100,-59,-87,-89,-92,-90,-100,0
37,-89,-72,-88,-56,-64,-100,-60,-87,-92,-92,-90,-100,0
38,-89,-72,-88,-54,-64,-100,-62,-87,-90,-92,-90,-100,0
39,-89,-72,-88,-52,-64,-100,-59,-87,-90,-92,-90,-100,0
40,-89,-85,-88,-51,-64,-100,-58,-85,-88,-92,-90,-100,0
41,-89,-69,-88,-51,-64,-100,-57,-85,-89,-92,-90,-100,0
42,-89,-70,-88,-51,-64,-100,-57,-86,-90,-92,-90,-100,0
43,-89,-70,-88,-54,-64,-100,-58,-87,-90,-92,-90,-100,0
44,-89,-72,-88,-54,-64,-100,-60,-87,-90,-92,-90,-100,0
45,-89,-72,-88,-55,-64,-100,-62,-87,-90,-92,-90,-100,0
46,-89,-70,-88,-52,-64,-100,-58,-87,-90,-92,-90,-100,0
47,-89,-71,-95,-54,-64,-100,-58,-87,-90,-92,-92,-100,0
48,-89,-71,-88,-54,-64,-100,-59,-88,-90,-92,-90,-100,0
49,-89,-71,-88,-54,-64,-100,-59,-85,-90,-92,-90,-100,0
50,-89,-74,-88,-58,-64,-100,-59,-87,-90,-92,-90,-100,0
51,-89,-72,-88,-55,-64,-100,-59,-85,-90,-92,-90,-100,0
52,-94,-73,-88,-54,-64,-100,-60,-87,-90,-92,-90,-100,0
53,-89,-70,-88,-54,-64,-100,-62,-89,-90,-92,-90,-100,0
54,-89,-73,-88,-56,-64,-100,-58,-87,-90,-92,-90,-100,0
55,-89,-72,-88,-54,-64,-100,-60,-91,-90,-92,-91,-100,0
56,-89,-71,-88,-52,-64,-100,-60,-91,-90,-92,-90,-100,0
57,-89,-72,-88,-56,-64,-100,-60,-87,-91,-92,-90,-100,0
58,-89,-73,-88,-53,-64,-100,-58,-84,-94,-92,-90,-100,0
59,-94,-70,-88,-51,-64,-100,-58,-87,-95,-92,-90,-100,0
60,-89,-72,-88,-52,-64,-100,-57,-86,-90,-92,-90,-100,0
61,-89,-74,-88,-52,-64,-100,-57,-87,-90,-92,-90,-100,0
62,-89,-73,-88,-53,-64,-100,-57,-85,-90,-92,-90,-100,0
63,-89,-70,-88,-53,-64,-100,-58,-87,-90,-91,-90,-100,0
64,-89,-69,-88,-52,-64,-100,-58,-87,-91,-93,-90,-100,0
65,-89,-73,-88,-54,-64,-100,-59,-87,-90,-92,-90,-100,0
66,-89,-72,-88,-54,-64,-100,-59,-88,-94,-92,-90,-100,0
67,-89,-73,-88,-52,-64,-100,-57,-87,-90,-92,-90,-100,0
68,-89,-69,-88,-51,-64,-100,-60,-88,-93,-91,-90,-100,0
69,-89,-70,-88,-52,-64,-100,-59,-87,-86,-92,-90,-100,0
70,-89,-74,-88,-52,-64,-100,-60,-86,-88,-92,-90,-100,0
71,-89,-70,-88,-51,-64,-100,-61,-87,-91,-92,-90,-100,0
72,-89,-73,-88,-55,-64,-100,-57,-85,-89,-92,-90,-100,0
73,-89,-70,-88,-52,-64,-100,-58,-87,-90,-94,-90,-100,0
74,-89,-72,-88,-52,-64,-100,-58,-89,-96,-92,-90,-100,0
75,-89,-72,-88,-56,-64,-100,-58,-87,-90,-92,-90,-100,0
76,-89,-72,-88,-54,-64,-100,-62,-88,-90,-92,-90,-100,0
77,-89,-73,-88,-54,-64,-100,-61,-89,-90,-92,-90,-100,0
78,-89,-72,-88,-54,-64,-100,-60,-87,-90,-92,-90,-100,0
79,-89,-71,-88,-54,-64,-100,-60,-90,-90,-92,-90,-100,0
80,-89,-72,-88,-52,-64,-100,-59,-87,-90,-92,-90,-100,0
81,-89,-72,-88,-53,-64,-100,-58,-89,-90,-92,-90,-100,0
82,-89,-70,-88,-51,-64,-100,-58,-87,-90,-92,-90,-100,0
83,-89,-70,-88,-52,-64,-100,-60,-88,-92,-92,-90,-100,0
84,-89,-71,-88,-55,-64,-100,-63,-87,-90,-92,-90,-100,0
85,-89,-73,-88,-53,-64,-100,-59,-84,-90,-92,-90,-100,0
86,-89,-72,-88,-52,-64,-100,-58,-87,-90,-92,-90,-100,0
87,-89,-70,-88,-53,-64,-100,-60,-87,-90,-92,-90,-100,0
88,-89,-72,-88,-52,-64,-100,-61,-87,-90,-92,-90,-100,0
89,-89,-70,-88,-50,-64,-100,-57,-87,-90,-92,-90,-100,0
90,-89,-72,-88,-55,-64,-100,-57,-86,-89,-92,-90,-100,0
91,-89,-82,-88,-54,-64,-100,-59,-87,-90,-92,-90,-100,0
92,-89,-69,-88,-50,-64,-100,-58,-87,-90,-92,-90,-100,0
93,-89,-73,-88,-55,-64,-100,-59,-87,-90,-92,-90,-100,0
94,-89,-69,-88,-51,-64,-100,-58,-85,-90,-92,-90,-100,0
95,-89,-70,-88,-55,-64,-100,-59,-87,-90,-92,-90,-100,0
96,-89,-69,-88,-53,-64,-100,-100,-87,-90,-92,-90,-100,0
97,-90,-71,-88,-54,-64,-100,-58,-87,-89,-92,-90,-100,0
98,-94,-69,-88,-53,-64,-100,-60,-86,-90,-92,-91,-100,0
99,-81,-72,-89,-53,-64,-100,-58,-87,-89,-87,-90,-100,0
100,-89,-70,-88,-53,-64,-100,-60,-87,-90,-92,-90,-100,0
101,-89,-70,-88,-53,-64,-100,-61,-88,-92,-92,-90,-100,0
102,-89,-73,-88,-53,-64,-100,-61,-87,-90,-92,-90,-100,0
103,-90,-70,-88,-55,-64,-100,-59,-87,-91,-92,-90,-100,0
104,-89,-71,-93,-53,-64,-100,-62,-87,-90,-92,-90,-100,0
105,-89,-72,-88,-54,-64,-100,-59,-85,-90,-92,-90,-100,0
106,-89,-70,-89,-53,-64,-100,-58,-87,-90,-92,-86,-100,0
107,-89,-70,-88,-54,-64,-100,-60,-87,-90,-92,-90,-100,0
108,-89,-71,-88,-52,-64,-100,-59,-89,-90,-92,-92,-100,0
109,-89,-71,-88,-53,-64,-100,-59,-88,-90,-92,-90,-100,0
110,-89,-100,-88,-53,-64,-100,-60,-87,-89,-87,-90,-100,0
111,-89,-70,-88,-55,-64,-100,-58,-86,-91,-92,-90,-100,0
112,-89,-70,-88,-53,-64,-100,-58,-87,-90,-92,-90,-100,0
113,-89,-70,-88,-55,-64,-100,-58,-90,-90,-92,-90,-100,0
114,-89,-73,-88,-56,-64,-100,-62,-87,-90,-92,-90,-100,0
115,-89,-70,-88,-52,-64,-100,-59,-87,-90,-92,-90,-100,0
116,-89,-73,-88,-53,-64,-100,-58,-83,-89,-90,-90,-100,0
117,-89,-71,-88,-52,-64,-100,-58,-88,-95,-92,-90,-100,0
118,-89,-70,-92,-52,-64,-100,-58,-86,-90,-92,-94,-100,0
119,-89,-70,-88,-52,-64,-100,-58,-88,-89,-92,-90,-100,0
120,-89,-74,-88,-52,-64,-100,-57,-87,-90,-92,-90,-100,0
121,-89,-72,-88,-54,-64,-100,-60,-89,-90,-92,-90,-100,0
122,-89,-69,-88,-53,-64,-100,-58,-90,-90,-92,-90,-100,0
123,-91,-75,-88,-53,-64,-100,-60,-87,-86,-92,-90,-100,0
124,-89,-72,-88,-53,-64,-100,-60,-87,-90,-93,-90,-100,0
125,-89,-74,-88,-52,-64,-100,-58,-89,-91,-92,-90,-100,0
126,-89,-72,-88,-55,-64,-100,-57,-88,-90,-92,-90,-100,0
127,-89,-71,-88,-55,-64,-100,-60,-87,-90,-92,-90,-100,0
128,-89,-72,-88,-55,-64,-100,-57,-87,-90,-92,-90,-100,0
129,-89,-72,-88,-53,-64,-100,-59,-87,-90,-92,-90,-100,0
130,-90,-71,-88,-53,-64,-100,-58,-87,-90,-92,-90,-100,0
131,-89,-72,-88,-54,-64,-100,-100,-87,-90,-92,-90,-100,0
132,-89,-69,-88,-53,-64,-100,-58,-90,-94,-92,-90,-100,0
133,-89,-72,-88,-56,-64,-100,-59,-87,-90,-92,-90,-100,0
134,-89,-70,-88,-53,-64,-100,-58,-84,-90,-93,-90,-100,0
135,-89,-71,-88,-54,-64,-100,-58,-91,-89,-93,-90,-100,0
136,-89,-71,-88,-54,-64,-100,-58,-87,-94,-94,-90,-100,0
137,-89,-73,-89,-52,-64,-100,-58,-87,-88,-92,-90,-100,0
138,-89,-71,-88,-53,-64,-100,-58,-85,-90,-92,-90,-100,0
139,-89,-71,-88,-55,-64,-100,-59,-87,-90,-92,-90,-100,0
140,-89,-70,-88,-52,-64,-100,-59,-87,-92,-92,-90,-100,0
141,-89,-71,-90,-54,-64,-100,-59,-91,-90,-92,-90,-100,0
142,-89,-100,-92,-54,-64,-100,-59,-88,-90,-92,-97,-100,0
143,-89,-71,-88,-53,-64,-100,-59,-89,-90,-92,-90,-100,0
144,-89,-70,-88,-53,-64,-100,-59,-89,-90,-92,-90,-100,0
145,-89,-71,-88,-54,-64,-100,-60,-87,-89,-91,-90,-100,0
146,-89,-71,-88,-54,-64,-100,-59,-87,-90,-92,-91,-100,0
