Chamidi1,NipunaM6,IsuruAp6,UoM_Wireless11,UNIC-wifi11,id
-77,-62,-55,-89,-91,0
-77,-62,-52,-89,-88,0
-74,-58,-54,-91,-89,2
-78,-62,-55,-93,-86,0
-84,-51,-62,-90,-86,1
-74,-55,-60,-89,-85,1
-79,-59,-54,-91,-89,2
-78,-63,-58,-89,-85,1
-77,-63,-54,-91,-85,0
-75,-63,-58,-94,-90,1
-73,-64,-52,-88,-87,0
-83,-63,-57,-89,-85,1
-75,-63,-58,-91,-87,0
-70,-64,-50,-90,-87,0
-72,-56,-54,-89,-89,2
-77,-64,-54,-89,-85,1
-79,-54,-56,-89,-85,1
-77,-66,-55,-89,-85,1
-70,-65,-55,-90,-90,0
-75,-63,-56,-90,-85,1
-68,-61,-55,-89,-85,1
-76,-58,-57,-90,-88,2
-77,-64,-53,-89,-88,0
-77,-60,-57,-91,-89,2
-78,-63,-61,-88,-85,1
-71,-64,-54,-89,-91,0
-75,-51,-60,-90,-86,1
-73,-64,-54,-90,-87,0
-69,-62,-54,-90,-90,2
-70,-64,-55,-91,-86,0
-74,-52,-54,-88,-85,1
-81,-55,-64,-90,-86,1
-72,-63,-54,-91,-86,1
-80,-55,-63,-90,-86,1
-79,-58,-53,-89,-89,2
-75,-53,-60,-89,-85,1
-77,-62,-53,-89,-85,0
-75,-58,-51,-91,-85,2
-72,-64,-55,-90,-87,0
-77,-60,-53,-89,-87,0
-72,-58,-51,-91,-85,2
-70,-59,-54,-90,-87,0
-76,-63,-56,-91,-84,0
-80,-63,-57,-93,-85,1
-77,-65,-56,-89,-85,0
-72,-61,-57,-89,-85,1
-72,-64,-54,-90,-85,0
-86,-58,-54,-91,-89,2
-77,-65,-57,-91,-84,0
-70,-64,-51,-95,-87,0
-79,-58,-54,-90,-89,2
-84,-63,-58,-89,-85,1
-75,-56,-55,-92,-87,2
-78,-63,-58,-91,-85,1
-72,-64,-54,-90,-87,0
-71,-64,-54,-93,-89,0
-78,-64,-54,-92,-85,1
-74,-63,-53,-89,-85,0
-84,-58,-47,-91,-89,2
-77,-63,-53,-89,-89,0
-77,-64,-50,-89,-85,0
-79,-63,-57,-89,-85,1
-75,-61,-56,-91,-88,1
-71,-64,-52,-90,-87,0
-76,-64,-56,-93,-87,0
-70,-60,-53,-88,-87,0
-69,-63,-53,-92,-86,0
-79,-55,-53,-91,-85,2
-100,-64,-54,-90,-88,0
-81,-58,-54,-91,-89,2
-74,-63,-56,-89,-85,1
-71,-64,-54,-89,-87,0
-76,-65,-56,-92,-84,0
-77,-64,-56,-91,-90,0
-84,-53,-51,-87,-85,1
-77,-62,-53,-89,-89,0
-73,-64,-53,-89,-83,0
-74,-58,-48,-87,-82,2
-79,-58,-52,-91,-89,2
-81,-63,-56,-90,-85,1
-71,-64,-54,-90,-87,0
-72,-64,-55,-90,-87,0
-81,-63,-55,-89,-85,1
-77,-54,-50,-91,-89,2
-74,-52,-51,-91,-87,2
-71,-64,-53,-90,-88,0
-73,-58,-53,-91,-91,2
-77,-61,-53,-89,-85,0
-70,-57,-53,-91,-87,2
-68,-57,-54,-91,-87,2
-77,-61,-52,-89,-88,0
-85,-65,-56,-90,-86,1
-81,-54,-62,-93,-85,1
-75,-64,-55,-89,-85,1
-75,-59,-58,-90,-85,2
-76,-63,-59,-88,-85,1
-82,-63,-58,-93,-85,1
-69,-64,-53,-90,-87,0
-83,-63,-57,-90,-85,1
-69,-64,-53,-90,-90,0
-77,-61,-54,-89,-85,0
-77,-63,-53,-90,-85,0
-80,-58,-52,-94,-87,2
-77,-55,-58,-87,-84,2
-77,-63,-59,-89,-85,1
-80,-59,-55,-91,-89,2
-73,-56,-55,-87,-85,2
-73,-64,-55,-89,-85,0
-83,-55,-58,-89,-85,1
-75,-58,-59,-91,-92,2
-83,-57,-59,-90,-85,1
-72,-64,-55,-90,-87,0
-75,-58,-59,-91,-90,2
-68,-64,-51,-89,-87,0
-83,-58,-52,-84,-89,2
-77,-55,-65,-91,-89,2
-77,-63,-58,-91,-85,1
-77,-62,-53,-89,-89,0
-70,-64,-52,-90,-87,0
-74,-64,-52,-88,-86,0
-77,-63,-60,-90,-85,1
-74,-58,-57,-87,-89,2
-77,-61,-54,-89,-88,0
-77,-56,-52,-93,-87,2
-75,-64,-56,-92,-89,0
-72,-64,-52,-96,-89,0
-74,-64,-52,-90,-87,0
-75,-56,-60,-87,-82,2
-76,-58,-56,-92,-89,2
-69,-64,-53,-90,-86,0
-75,-53,-54,-88,-89,2
-74,-56,-52,-91,-89,2
-74,-58,-58,-93,-89,2
-75,-63,-57,-89,-87,1
-71,-64,-53,-90,-89,0
-79,-62,-52,-89,-85,0
-73,-64,-53,-90,-87,0
-72,-64,-55,-90,-88,0
-74,-63,-54,-89,-85,1
-77,-62,-53,-89,-89,0
-73,-64,-52,-90,-87,0
-75,-64,-56,-89,-87,1
-80,-68,-53,-92,-87,2
-80,-54,-66,-91,-85,1
-86,-63,-57,-89,-84,0
-75,-63,-58,-89,-85,1
-73,-55,-57,-91,-89,2
-74,-63,-53,-89,-85,1
-72,-64,-56,-92,-87,0
-77,-57,-54,-93,-88,2
-74,-55,-57,-91,-88,2
-76,-63,-53,-89,-85,0
-77,-61,-55,-90,-85,1
-77,-55,-55,-91,-92,2
-81,-63,-61,-91,-85,1
-84,-65,-55,-91,-84,0
-71,-64,-54,-90,-91,0
-74,-58,-57,-93,-89,2
-100,-58,-53,-91,-89,2
-75,-63,-56,-91,-89,0
-74,-63,-56,-87,-84,0
-76,-63,-56,-92,-87,1
-75,-58,-57,-88,-89,2
-84,-64,-55,-91,-84,0
-73,-58,-52,-90,-89,2
-73,-63,-57,-89,-85,1
-85,-63,-62,-89,-85,1
-75,-56,-55,-91,-89,2
-70,-62,-52,-92,-87,0
-77,-63,-53,-90,-85,0
-79,-54,-56,-95,-85,1
-76,-65,-59,-91,-89,0
-70,-64,-53,-90,-87,0
-73,-64,-53,-94,-84,0
-75,-65,-56,-94,-84,0
-82,-58,-52,-91,-87,2
-78,-54,-60,-89,-85,1
-71,-64,-54,-90,-87,0
-75,-62,-57,-91,-85,1
-82,-58,-52,-87,-89,2
-77,-62,-56,-90,-84,0
-77,-63,-49,-89,-89,0
-72,-64,-54,-90,-87,0
-73,-56,-65,-95,-89,2
-72,-64,-53,-90,-87,0
-74,-58,-55,-91,-89,2
-75,-58,-53,-89,-89,2
-75,-63,-54,-90,-86,1
-86,-55,-60,-91,-85,1
-76,-58,-51,-88,-83,2
-84,-50,-59,-89,-85,1
-82,-63,-56,-87,-85,1
-70,-64,-52,-89,-88,0
-77,-63,-53,-89,-85,0
-80,-58,-48,-93,-88,2
-77,-58,-56,-95,-89,2
-88,-57,-57,-91,-89,2
-79,-63,-57,-89,-85,1
-76,-63,-57,-92,-84,0
-75,-63,-57,-88,-85,1
-75,-57,-56,-94,-88,2
-77,-63,-58,-91,-85,1
-85,-58,-49,-91,-89,2
-70,-64,-52,-90,-87,0
-76,-63,-57,-89,-85,1
-77,-55,-59,-91,-88,2
-73,-64,-52,-93,-88,0
-72,-64,-56,-90,-87,0
-82,-63,-56,-89,-85,1
-69,-64,-50,-90,-87,0
-74,-65,-59,-91,-84,0
-72,-64,-52,-90,-87,0
-73,-58,-57,-91,-89,2
-70,-64,-56,-91,-85,1
-71,-62,-52,-90,-88,0
-77,-64,-55,-89,-91,0
-77,-58,-54,-91,-89,2
-71,-64,-52,-90,-91,0
-72,-64,-55,-90,-85,0
-76,-57,-54,-94,-88,2
-70,-64,-53,-92,-88,0
-74,-64,-52,-91,-89,0
-77,-65,-55,-89,-82,0
-79,-54,-64,-90,-86,1
-77,-62,-55,-89,-90,0
-72,-66,-55,-89,-85,1
-80,-54,-58,-88,-87,1
-77,-62,-54,-91,-84,0
-75,-64,-55,-89,-85,1
-81,-55,-59,-89,-85,1
-70,-64,-53,-90,-87,0
-72,-58,-55,-94,-89,2
-77,-63,-61,-89,-85,1
-79,-57,-60,-95,-89,1
-85,-58,-48,-91,-88,2
-81,-58,-53,-94,-89,2
-70,-64,-52,-90,-86,0
-78,-63,-56,-91,-85,1
-83,-63,-55,-89,-85,1
-77,-64,-53,-89,-86,0
-73,-64,-54,-90,-89,0
-78,-63,-56,-88,-85,1
-71,-58,-51,-97,-89,2
-78,-57,-56,-91,-89,2
-75,-63,-53,-89,-85,1
-83,-65,-56,-86,-84,0
-85,-64,-51,-88,-85,0
-84,-59,-58,-89,-85,1
-77,-62,-48,-94,-90,0
-69,-64,-51,-89,-85,0
-75,-63,-57,-89,-85,1
-71,-58,-53,-91,-89,2
-76,-58,-55,-91,-86,2
-72,-64,-56,-90,-87,0
-79,-58,-51,-91,-85,2
-70,-64,-52,-90,-87,0
-78,-63,-58,-89,-85,1
-70,-64,-54,-90,-87,0
-72,-64,-52,-90,-87,0
-75,-64,-53,-86,-87,0
-74,-58,-53,-88,-85,2
-76,-64,-55,-88,-84,0
-78,-63,-55,-89,-85,1
-75,-52,-60,-89,-84,1
-81,-63,-64,-91,-85,1
-72,-46,-53,-88,-88,2
-76,-59,-59,-91,-89,2
-69,-57,-57,-90,-89,2
-75,-65,-55,-91,-84,0
-69,-64,-51,-90,-85,0
-76,-58,-47,-92,-85,2
-71,-56,-52,-89,-89,2
-84,-58,-53,-92,-89,2
-100,-63,-58,-90,-91,2
-70,-64,-55,-89,-85,1
-70,-64,-51,-91,-87,0
-74,-57,-53,-88,-84,2
-78,-58,-54,-89,-86,2
-76,-65,-58,-91,-84,0
-77,-68,-62,-90,-87,1
-81,-55,-58,-89,-85,1
-75,-65,-56,-89,-85,1
-80,-58,-53,-92,-89,2
-87,-63,-56,-89,-85,1
-82,-63,-59,-87,-85,1
-71,-55,-55,-88,-84,2
-75,-64,-56,-91,-84,0
-84,-54,-63,-90,-86,1
-78,-54,-59,-89,-85,1
-71,-64,-52,-95,-88,0
-72,-60,-54,-90,-89,2
-77,-54,-61,-89,-85,1
-72,-64,-55,-89,-86,0
-78,-63,-57,-89,-85,1
-100,-62,-56,-92,-85,1
-78,-57,-60,-89,-85,1
-80,-58,-55,-91,-89,2
-75,-64,-55,-88,-85,1
-80,-55,-58,-89,-85,1
-76,-60,-55,-95,-85,0
-84,-54,-61,-90,-85,1
-74,-63,-55,-93,-87,0
-80,-54,-59,-89,-85,1
-74,-64,-54,-90,-84,0
-78,-60,-54,-89,-87,1
-80,-63,-57,-89,-85,1
-77,-55,-60,-93,-85,1
-82,-63,-57,-89,-85,1
-74,-62,-55,-91,-89,0
-78,-56,-54,-91,-88,2
-83,-57,-61,-89,-85,1
-71,-63,-57,-89,-85,1
-81,-54,-59,-86,-86,1
-77,-62,-55,-90,-86,0
-73,-58,-55,-94,-87,2
-76,-64,-58,-91,-84,0
-70,-57,-57,-93,-89,2
-77,-63,-64,-91,-86,0
-72,-64,-53,-90,-89,0
-76,-64,-55,-91,-84,0
-77,-58,-49,-92,-89,2
-78,-60,-55,-95,-89,2
-81,-59,-58,-89,-89,2
-74,-64,-51,-89,-87,0
-72,-64,-54,-90,-91,0
-70,-64,-53,-90,-87,0
-79,-63,-60,-92,-85,1
-82,-63,-56,-91,-84,0
-73,-65,-57,-87,-85,1
-77,-59,-55,-89,-88,0
-75,-62,-55,-87,-83,1
-86,-57,-54,-91,-89,2
-78,-56,-61,-86,-85,1
-78,-63,-54,-90,-87,0
-73,-64,-52,-90,-90,0
-70,-64,-54,-90,-87,0
-89,-56,-52,-91,-87,2
-72,-64,-56,-91,-87,0
-71,-64,-55,-90,-87,0
-71,-64,-55,-90,-87,0
-74,-64,-52,-90,-87,0
-72,-64,-54,-90,-87,0
-81,-63,-57,-88,-85,1
-100,-61,-52,-92,-88,2
-76,-64,-57,-89,-85,1
-83,-63,-57,-90,-85,1
-86,-58,-51,-90,-88,2
-80,-62,-53,-91,-87,2
-80,-60,-56,-89,-85,1
-71,-64,-53,-90,-85,0
-74,-58,-56,-89,-85,2
-74,-65,-57,-89,-85,0
-79,-58,-49,-88,-89,2
-100,-56,-54,-87,-85,2
-78,-63,-64,-89,-85,1
-71,-64,-54,-94,-87,0
-76,-63,-53,-91,-85,0
-77,-58,-52,-89,-88,2
-71,-62,-62,-89,-85,1
-84,-54,-56,-89,-85,1
-80,-63,-57,-95,-85,1
-80,-57,-57,-92,-90,2
-77,-57,-59,-91,-89,2
-76,-58,-51,-90,-85,2
-79,-62,-57,-89,-85,1
-100,-63,-58,-89,-88,1
-79,-58,-51,-91,-89,2
-75,-64,-56,-91,-84,0
-72,-54,-61,-89,-87,2
-74,-63,-55,-88,-85,0
-73,-58,-55,-91,-87,2
-77,-61,-55,-89,-89,0
-78,-63,-58,-92,-85,1
-75,-62,-56,-87,-84,0
-73,-65,-66,-88,-86,1
-75,-61,-57,-91,-86,0
-82,-65,-58,-91,-89,2
-77,-64,-55,-88,-86,0
-77,-61,-53,-89,-85,0
-75,-68,-55,-89,-85,1
-71,-64,-54,-90,-85,0
-78,-63,-57,-89,-85,1
-77,-61,-55,-89,-85,0
-79,-63,-56,-90,-88,1
-70,-63,-100,-89,-87,2
-70,-64,-55,-91,-87,0
-81,-52,-55,-89,-83,1
-67,-64,-62,-89,-85,0
-70,-64,-53,-90,-87,0
-71,-63,-54,-89,-85,1
-73,-58,-54,-91,-88,2
-73,-64,-56,-90,-87,0
-73,-61,-56,-93,-85,1
-77,-60,-52,-89,-84,0
-73,-64,-54,-90,-87,0
-77,-62,-54,-89,-89,0
-72,-64,-57,-92,-88,0
-77,-58,-52,-90,-88,2
-70,-64,-52,-90,-87,0
-75,-58,-55,-89,-85,1
-74,-53,-55,-92,-90,2
-77,-62,-53,-89,-85,0
-77,-62,-54,-89,-85,1
-76,-63,-58,-88,-85,1
-74,-57,-54,-91,-90,2
-75,-57,-56,-90,-89,2
-74,-58,-54,-91,-89,2
-86,-58,-55,-91,-90,2
-82,-63,-56,-85,-85,1
-72,-64,-53,-89,-87,0
-72,-64,-54,-90,-87,0
-71,-63,-56,-89,-85,1
-78,-53,-60,-89,-87,1
-74,-58,-56,-91,-88,2
-82,-58,-55,-95,-86,2
-71,-64,-52,-90,-87,0
-73,-55,-54,-91,-86,2
-70,-64,-52,-92,-88,0
-73,-64,-56,-90,-87,0
-70,-60,-57,-91,-89,2
-71,-64,-56,-90,-89,0
-80,-63,-59,-87,-85,1
-80,-62,-54,-92,-85,1
-73,-57,-53,-91,-89,2
-80,-67,-56,-92,-89,2
-87,-58,-56,-91,-94,2
-74,-58,-58,-91,-90,2
-78,-54,-55,-90,-86,1
-78,-52,-59,-89,-85,1
-77,-64,-55,-89,-85,0
-72,-58,-56,-94,-89,2
-72,-56,-57,-91,-89,2
-79,-55,-66,-90,-86,1
-78,-63,-58,-89,-85,1
-74,-58,-60,-91,-90,2
-79,-54,-58,-89,-85,1
-77,-64,-54,-91,-85,0
-71,-64,-52,-90,-89,0
-76,-58,-57,-88,-84,0
-76,-54,-60,-89,-85,1
-76,-58,-58,-90,-89,2
-76,-58,-51,-87,-84,2
-77,-63,-58,-94,-85,1
-71,-56,-57,-91,-84,2
-70,-56,-56,-91,-88,2
-67,-60,-58,-90,-89,2
-77,-64,-56,-91,-85,0
-73,-58,-58,-92,-89,2
-73,-63,-54,-90,-87,0
-100,-64,-55,-91,-83,0
-78,-63,-59,-89,-85,1
-79,-62,-55,-89,-84,0
-81,-63,-58,-91,-85,1
-77,-54,-54,-89,-85,1
-75,-64,-53,-91,-84,0
-78,-65,-62,-90,-86,1
-81,-54,-60,-89,-85,1
-80,-63,-57,-91,-85,1
-85,-52,-60,-90,-86,1
-70,-64,-55,-90,-90,0
-83,-55,-59,-89,-86,1
-100,-56,-63,-91,-85,2
-72,-57,-57,-89,-89,2
-74,-56,-56,-93,-85,1
-74,-56,-56,-91,-88,2
-73,-65,-58,-87,-85,2
-75,-64,-63,-91,-84,0
-73,-63,-56,-89,-86,1
-72,-64,-52,-90,-87,0
-73,-64,-55,-90,-87,0
-76,-62,-56,-91,-84,0
-79,-62,-56,-91,-85,1
-71,-58,-53,-91,-84,2
-77,-57,-55,-91,-85,2
-75,-64,-55,-91,-84,0
-76,-61,-53,-89,-85,1
-79,-58,-52,-91,-90,2
-71,-64,-55,-90,-87,0
-84,-53,-59,-90,-85,1
-77,-58,-51,-92,-87,2
-72,-64,-52,-90,-87,0
-69,-61,-55,-91,-85,1
-78,-53,-62,-90,-87,1
-85,-57,-52,-91,-84,2
-77,-58,-53,-91,-89,2
-77,-60,-53,-89,-85,0
-75,-63,-56,-88,-84,0
-75,-58,-52,-91,-89,2
-76,-63,-57,-92,-84,0
-80,-51,-59,-89,-85,1
-81,-63,-57,-88,-84,1
-85,-63,-57,-89,-87,1
-81,-58,-54,-91,-90,2
-70,-64,-51,-90,-87,0
-79,-59,-56,-91,-89,2
-73,-62,-57,-91,-87,1
-69,-61,-53,-91,-89,2
-79,-55,-55,-94,-89,2
-71,-55,-56,-91,-89,2
-75,-57,-58,-91,-89,2
-72,-58,-52,-91,-89,2
-72,-58,-59,-91,-87,2
-73,-61,-56,-91,-87,0
-88,-58,-49,-91,-89,2
-100,-63,-56,-91,-86,0
-71,-63,-52,-89,-88,0
-77,-63,-52,-86,-85,0
-85,-58,-58,-91,-89,2
-80,-54,-59,-89,-85,1
-80,-52,-61,-89,-85,1
-70,-64,-53,-90,-87,0
-77,-64,-54,-89,-85,1
-70,-64,-55,-90,-87,0
-84,-58,-57,-91,-87,2
-78,-58,-53,-90,-89,2
-75,-63,-57,-91,-84,0
-71,-60,-55,-90,-89,2
-71,-63,-53,-94,-88,0
-77,-58,-47,-91,-87,2
-74,-57,-63,-92,-88,2
-76,-65,-56,-91,-84,0
-75,-66,-58,-91,-84,0
-77,-62,-53,-89,-85,0
-75,-62,-51,-89,-85,0
-77,-63,-57,-88,-85,1
-71,-63,-63,-89,-85,1
-100,-54,-58,-89,-89,1
-74,-54,-52,-89,-89,2
-76,-57,-56,-91,-89,2
-75,-58,-52,-91,-86,2
-79,-61,-58,-89,-85,1
-76,-64,-55,-91,-84,0
-72,-57,-55,-92,-87,2
-69,-56,-53,-88,-87,2
-71,-62,-55,-92,-87,0
-77,-63,-51,-94,-87,0
-71,-65,-54,-93,-87,0
-100,-58,-55,-91,-89,2
-77,-63,-55,-91,-86,0
-75,-60,-54,-87,-85,1
-72,-64,-53,-90,-87,0
-75,-58,-55,-89,-89,2
-77,-65,-56,-91,-84,0
-76,-58,-51,-89,-85,2
-77,-58,-53,-92,-87,2
-78,-60,-58,-89,-85,1
-77,-58,-61,-92,-85,1
-69,-64,-51,-93,-88,0
-69,-67,-54,-92,-85,0
-100,-58,-53,-91,-84,2
-74,-62,-52,-90,-85,1
-77,-54,-57,-89,-85,1
-74,-58,-57,-93,-88,2
-70,-57,-52,-89,-84,2
-76,-58,-54,-91,-84,2
-75,-64,-52,-91,-84,0
-80,-58,-56,-91,-84,2
-72,-58,-52,-91,-86,2
-70,-63,-56,-90,-87,2
-81,-63,-56,-89,-85,1
-81,-57,-57,-89,-85,1
-75,-55,-67,-90,-90,2
-77,-58,-53,-89,-89,0
-75,-63,-54,-91,-84,0
-84,-54,-57,-90,-85,1
-73,-67,-57,-93,-86,2
-75,-64,-56,-89,-84,0
-76,-58,-51,-92,-89,2
-75,-57,-57,-93,-87,1
-77,-63,-54,-91,-88,0
-73,-58,-54,-88,-89,2
-100,-58,-52,-91,-89,2
-72,-64,-54,-90,-88,0
-75,-58,-56,-91,-87,2
-72,-64,-53,-90,-87,0
-77,-65,-56,-91,-84,0
-70,-64,-52,-86,-87,0
-79,-51,-60,-89,-87,1
-70,-63,-57,-90,-87,0
-75,-58,-49,-92,-87,2
-70,-64,-52,-90,-87,0
-84,-63,-57,-91,-85,1
-85,-54,-60,-89,-89,1
-76,-50,-54,-91,-89,2
-74,-66,-52,-89,-85,0
-82,-63,-56,-89,-87,1
-71,-65,-57,-90,-87,0
-81,-63,-57,-86,-85,1
-72,-58,-52,-91,-89,2
-70,-65,-57,-89,-90,1
-76,-57,-55,-93,-89,2
-70,-64,-54,-90,-89,0
-82,-63,-57,-89,-85,1
-76,-63,-57,-90,-89,0
-78,-58,-51,-95,-88,2
-75,-58,-56,-91,-89,2
-84,-56,-50,-89,-89,2
-82,-58,-51,-90,-90,2
-77,-58,-54,-91,-89,2
-76,-58,-55,-91,-89,2
-80,-62,-57,-89,-85,1
-71,-63,-52,-89,-87,0
-71,-64,-54,-89,-87,0
-85,-64,-56,-91,-86,0
-73,-59,-67,-91,-89,2
-76,-63,-57,-89,-85,1
-73,-63,-64,-91,-86,2
-78,-63,-57,-89,-85,1
-75,-53,-59,-89,-86,1
-74,-58,-56,-89,-85,1
-77,-58,-52,-91,-89,2
-76,-56,-53,-91,-89,2
-77,-63,-50,-90,-87,0
-75,-58,-50,-91,-84,2
-76,-52,-59,-89,-85,1
-77,-62,-63,-91,-84,0
-77,-62,-57,-90,-88,0
-77,-60,-52,-86,-85,0
-77,-62,-55,-91,-85,0
-72,-64,-60,-89,-85,1
-73,-58,-53,-87,-84,2
-87,-58,-53,-89,-85,0
-75,-56,-54,-91,-89,2
-72,-59,-58,-86,-89,2
-77,-58,-54,-91,-89,2
-70,-64,-52,-92,-87,0
-75,-64,-56,-91,-88,0
-77,-64,-55,-89,-82,0
-77,-56,-64,-91,-86,1
-77,-65,-55,-92,-85,1
-71,-64,-53,-90,-87,0
-77,-63,-54,-89,-85,0
-100,-58,-52,-91,-89,2
-71,-58,-56,-87,-89,2
-73,-64,-58,-91,-88,0
-83,-52,-58,-89,-89,1
-77,-62,-55,-92,-86,0
-75,-65,-56,-91,-84,0
-80,-63,-58,-87,-85,1
-72,-62,-55,-93,-88,1
-74,-53,-53,-93,-89,2
-72,-64,-53,-90,-87,0
-73,-57,-61,-87,-89,2
-74,-58,-53,-91,-89,2
-74,-64,-58,-90,-87,0
-72,-61,-56,-90,-87,1
-70,-62,-57,-91,-86,2
-77,-63,-58,-89,-85,1
-77,-60,-52,-89,-85,0
-71,-64,-54,-90,-88,0
-69,-64,-53,-94,-90,0
-83,-63,-58,-89,-85,1
-81,-58,-52,-91,-89,2
-100,-64,-53,-89,-87,0
-71,-64,-53,-91,-87,0
-74,-62,-55,-91,-85,1
-77,-65,-54,-90,-87,0
-77,-61,-55,-89,-88,0
-82,-62,-54,-89,-89,2
-76,-65,-59,-94,-89,0
-82,-55,-55,-91,-89,2
-80,-57,-66,-91,-86,1
-76,-63,-55,-90,-88,0
-73,-58,-54,-91,-89,2
-78,-56,-63,-91,-87,1
-78,-61,-56,-89,-85,1
-78,-63,-55,-89,-85,1
-74,-56,-50,-90,-85,2
-77,-63,-57,-89,-85,1
-78,-63,-59,-95,-85,1
-78,-53,-59,-89,-85,1
-74,-63,-55,-91,-84,0
-70,-56,-56,-87,-89,2
-72,-64,-55,-90,-89,0
-77,-64,-58,-91,-84,0
-83,-58,-52,-91,-85,2
-78,-67,-52,-93,-86,2
-72,-76,-53,-91,-86,2
-73,-64,-53,-92,-87,0
-81,-54,-59,-89,-85,1
-76,-64,-56,-91,-84,0
-71,-63,-52,-91,-85,0
-76,-64,-56,-91,-84,0
-76,-51,-57,-89,-85,1
-75,-63,-56,-91,-85,1
-73,-57,-59,-95,-89,2
-72,-64,-54,-90,-89,0
-74,-54,-59,-94,-88,2
-79,-63,-57,-89,-85,1
-70,-68,-51,-90,-87,0
-72,-64,-54,-94,-88,0
-100,-63,-67,-89,-84,1
-77,-63,-55,-85,-85,1
-70,-64,-54,-90,-84,0
-79,-58,-45,-91,-84,2
-71,-64,-53,-90,-87,0
-77,-61,-58,-89,-92,0
-80,-54,-58,-89,-88,1
-74,-63,-56,-89,-85,1
-75,-58,-50,-93,-82,2
-78,-62,-56,-89,-85,1
-78,-62,-54,-89,-85,1
-74,-60,-55,-91,-84,0
-82,-55,-50,-91,-89,2
-75,-56,-57,-91,-89,2
-76,-64,-56,-91,-88,0
-72,-57,-57,-90,-89,2
-71,-64,-54,-90,-90,0
-83,-58,-53,-91,-88,2
-79,-63,-59,-87,-83,1
-68,-62,-54,-91,-85,1
-81,-58,-55,-91,-89,2
-82,-64,-54,-90,-87,0
-71,-64,-54,-90,-87,0
-79,-58,-54,-91,-89,2
-80,-55,-64,-88,-86,1
-72,-57,-57,-90,-89,2
-81,-58,-48,-92,-87,2
-73,-55,-54,-91,-89,2
-75,-62,-56,-90,-83,0
-74,-64,-55,-91,-84,0
-70,-64,-53,-90,-84,0
-70,-58,-48,-91,-87,2
-70,-64,-53,-90,-89,0
-75,-57,-56,-89,-85,1
-72,-71,-60,-89,-89,1
-70,-64,-51,-90,-86,0
-72,-64,-52,-90,-86,0
-76,-58,-52,-90,-88,2
-100,-62,-55,-86,-87,1
-76,-63,-54,-91,-84,0
-76,-64,-55,-91,-88,0
-85,-58,-53,-91,-86,2
-75,-63,-56,-93,-84,0
-77,-58,-59,-90,-89,2
-76,-61,-57,-89,-87,1
-73,-64,-53,-90,-84,0
-77,-62,-53,-89,-85,0
-69,-64,-53,-89,-87,0
-73,-58,-53,-91,-89,2
-72,-64,-51,-94,-87,0
-84,-63,-54,-91,-84,0
-69,-64,-52,-91,-87,0
-77,-62,-51,-88,-88,0
-77,-56,-67,-90,-86,1
-80,-58,-48,-91,-89,2
-73,-64,-53,-90,-85,0
-77,-63,-54,-89,-85,1
