Chamidi1,NipunaM6,IsuruAp6,Sandali11,UoM_Wireless11,UNIC-wifi11,id
-100,-62,-53,-100,-100,-89,0
-74,-56,-52,-100,-91,-100,2
-75,-57,-57,-62,-93,-87,1
-81,-55,-58,-62,-89,-100,1
-74,-63,-56,-61,-100,-100,1
-75,-55,-67,-100,-90,-90,2
-73,-65,-66,-61,-88,-86,1
-71,-100,-53,-59,-100,-88,0
-75,-62,-56,-62,-90,-83,0
-74,-55,-57,-100,-100,-88,2
-78,-62,-56,-63,-100,-100,1
-74,-100,-57,-100,-93,-100,2
-100,-100,-54,-59,-100,-88,0
-79,-100,-57,-62,-100,-100,1
-78,-100,-61,-62,-88,-100,1
-74,-54,-52,-100,-89,-100,2
-75,-52,-60,-62,-100,-84,1
-78,-57,-56,-100,-91,-100,2
-77,-100,-53,-100,-100,-100,2
-83,-57,-59,-62,-90,-100,1
-74,-100,-53,-100,-100,-100,2
-72,-100,-54,-59,-90,-85,0
-74,-53,-53,-100,-93,-89,2
-100,-63,-49,-100,-100,-89,0
-74,-100,-56,-100,-89,-85,2
-70,-100,-52,-60,-92,-88,0
-73,-100,-56,-62,-100,-100,0
-78,-56,-54,-100,-100,-88,2
-73,-64,-58,-61,-100,-88,0
-74,-100,-54,-100,-100,-100,2
-75,-100,-55,-100,-89,-100,2
-74,-100,-54,-61,-100,-100,1
-72,-64,-53,-61,-100,-100,0
-73,-100,-57,-62,-100,-100,1
-85,-100,-49,-100,-100,-100,2
-82,-100,-56,-60,-85,-100,1
-72,-100,-52,-100,-100,-86,2
-72,-57,-57,-100,-89,-100,2
-72,-100,-53,-59,-100,-100,0
-73,-100,-52,-61,-93,-88,0
-70,-100,-54,-60,-100,-100,0
-76,-51,-57,-60,-100,-100,1
-71,-62,-55,-60,-92,-100,0
-78,-64,-54,-60,-92,-100,1
-70,-100,-52,-58,-100,-87,0
-100,-60,-53,-100,-100,-87,0
-82,-100,-59,-62,-87,-100,1
-79,-62,-57,-62,-100,-100,1
-78,-63,-54,-59,-90,-100,0
-100,-61,-55,-100,-100,-100,0
-100,-65,-56,-100,-100,-100,0
-83,-52,-58,-61,-100,-89,1
-72,-57,-55,-100,-92,-87,2
-70,-100,-53,-59,-100,-89,0
-84,-100,-57,-100,-91,-87,2
-72,-56,-54,-100,-89,-100,2
-72,-57,-57,-100,-90,-100,2
-100,-63,-54,-100,-91,-88,0
-83,-100,-57,-61,-90,-100,1
-72,-100,-56,-60,-91,-100,0
-70,-56,-56,-100,-87,-100,2
-71,-100,-56,-100,-87,-100,2
-76,-56,-53,-100,-100,-100,2
-71,-100,-54,-58,-100,-100,0
-76,-65,-59,-63,-94,-89,0
-74,-57,-63,-100,-92,-88,2
-73,-100,-55,-100,-100,-87,2
-75,-57,-56,-100,-90,-100,2
-74,-63,-56,-61,-87,-100,0
-77,-100,-57,-64,-88,-100,1
-77,-56,-64,-63,-91,-100,1
-100,-62,-53,-100,-100,-85,0
-71,-64,-54,-60,-93,-89,0
-70,-100,-53,-58,-90,-100,0
-100,-61,-54,-100,-100,-100,0
-76,-100,-47,-100,-92,-85,2
-75,-64,-53,-61,-100,-100,0
-76,-64,-55,-62,-100,-88,0
-69,-100,-50,-58,-100,-87,0
-78,-100,-57,-62,-100,-100,1
-77,-100,-56,-100,-95,-100,2
-69,-100,-51,-58,-90,-85,0
-73,-65,-57,-100,-87,-100,1
-80,-54,-59,-64,-100,-100,1
-75,-100,-52,-100,-91,-86,2
-74,-53,-55,-100,-92,-90,2
-75,-61,-56,-100,-91,-88,1
-100,-64,-55,-100,-100,-100,0
-87,-100,-56,-64,-100,-100,1
-70,-100,-53,-58,-100,-100,0
-70,-100,-55,-58,-100,-90,0
-100,-63,-53,-100,-90,-100,0
-74,-63,-53,-60,-100,-100,1
-75,-100,-52,-100,-91,-100,2
-70,-100,-51,-57,-100,-86,0
-75,-65,-56,-61,-89,-100,1
-76,-100,-51,-100,-89,-85,2
-79,-100,-51,-100,-100,-85,2
-76,-100,-57,-62,-100,-100,1
-73,-57,-59,-100,-95,-100,2
-71,-100,-52,-59,-100,-100,0
-79,-100,-52,-100,-91,-100,2
-76,-52,-59,-62,-100,-100,1
-100,-63,-51,-100,-94,-87,0
-100,-63,-56,-62,-100,-86,0
-75,-62,-56,-61,-87,-100,0
-75,-64,-63,-63,-100,-100,0
-76,-100,-57,-62,-100,-100,1
-84,-53,-59,-62,-90,-100,1
-80,-54,-59,-64,-100,-100,1
-79,-54,-58,-61,-89,-100,1
-78,-62,-54,-63,-100,-100,1
-79,-100,-52,-100,-100,-90,2
-69,-67,-54,-68,-92,-100,0
-100,-60,-52,-100,-100,-84,0
-75,-62,-57,-62,-91,-100,1
-100,-62,-52,-100,-100,-88,0
-75,-56,-54,-100,-100,-100,2
-76,-65,-56,-62,-91,-100,0
-75,-100,-53,-60,-86,-100,0
-100,-60,-52,-100,-86,-100,0
-74,-58,-56,-58,-100,-100,1
-71,-63,-52,-58,-89,-100,0
-70,-56,-56,-100,-91,-88,2
-77,-63,-55,-61,-100,-86,0
-84,-54,-57,-61,-90,-100,1
-74,-58,-57,-100,-87,-100,2
-84,-64,-55,-62,-100,-100,0
-100,-64,-56,-100,-91,-100,0
-70,-68,-51,-62,-100,-87,0
-74,-58,-58,-100,-93,-100,2
-72,-100,-55,-59,-90,-89,0
-84,-51,-62,-62,-100,-100,1
-73,-63,-64,-100,-100,-86,2
-68,-57,-54,-100,-100,-87,2
-77,-62,-63,-64,-100,-100,0
-100,-63,-53,-100,-89,-100,0
-80,-54,-58,-61,-88,-87,1
-78,-100,-58,-63,-92,-100,1
-77,-66,-55,-63,-100,-100,1
-75,-66,-58,-64,-100,-84,0
-74,-64,-51,-64,-100,-87,0
-72,-100,-56,-60,-92,-100,0
-77,-57,-55,-100,-100,-85,2
-75,-100,-49,-100,-92,-87,2
-81,-100,-56,-62,-90,-100,1
-78,-54,-60,-63,-100,-100,1
-75,-63,-56,-72,-90,-100,1
-100,-63,-53,-100,-90,-85,0
-73,-100,-53,-58,-94,-84,0
-80,-60,-56,-63,-100,-100,1
-72,-100,-52,-100,-91,-89,2
-100,-61,-52,-100,-92,-88,2
-75,-59,-58,-100,-90,-85,2
-71,-100,-54,-58,-94,-100,0
-84,-53,-51,-62,-87,-100,1
-70,-100,-52,-58,-89,-88,0
-72,-100,-54,-60,-100,-100,0
-76,-58,-54,-100,-100,-84,2
-77,-54,-54,-62,-100,-100,1
-88,-100,-49,-100,-100,-100,2
-85,-100,-58,-100,-100,-100,2
-70,-57,-52,-100,-89,-84,2
-100,-62,-55,-100,-100,-91,0
-100,-65,-54,-100,-90,-87,0
-71,-100,-51,-100,-97,-100,2
-75,-100,-51,-100,-100,-85,2
-76,-58,-51,-100,-88,-83,2
-82,-55,-55,-100,-100,-100,2
-85,-100,-53,-100,-100,-86,2
-80,-55,-64,-64,-88,-100,1
-75,-100,-54,-62,-90,-86,1
-79,-54,-56,-61,-95,-100,1
-81,-100,-55,-100,-100,-100,2
-83,-100,-52,-100,-100,-85,2
-73,-57,-61,-100,-87,-100,2
-86,-100,-54,-100,-91,-100,2
-76,-57,-55,-100,-93,-100,2
-71,-100,-53,-62,-100,-100,0
-74,-63,-53,-63,-100,-85,0
-80,-55,-63,-64,-100,-100,1
-78,-100,-56,-66,-91,-100,1
-79,-100,-54,-100,-100,-89,2
-81,-55,-64,-63,-100,-100,1
-74,-60,-55,-64,-100,-100,0
-77,-100,-57,-63,-100,-100,1
-73,-62,-57,-100,-91,-87,1
-84,-63,-54,-64,-100,-100,0
-76,-64,-55,-62,-100,-100,0
-74,-63,-55,-62,-91,-84,0
-81,-100,-57,-63,-88,-84,1
-73,-58,-57,-100,-100,-100,2
-70,-100,-52,-59,-86,-100,0
-78,-100,-58,-61,-91,-100,1
-74,-56,-56,-100,-100,-88,2
-76,-100,-55,-100,-100,-86,2
-77,-64,-54,-58,-100,-100,1
-76,-63,-57,-61,-92,-100,0
-75,-60,-54,-59,-87,-100,1
-82,-100,-54,-59,-100,-100,0
-76,-58,-51,-100,-92,-100,2
-75,-100,-57,-61,-100,-87,1
-72,-64,-55,-60,-100,-100,0
-73,-63,-54,-100,-100,-100,0
-72,-100,-55,-59,-100,-85,0
-76,-63,-53,-64,-91,-100,0
-73,-100,-52,-57,-90,-100,0
-100,-100,-67,-63,-100,-84,1
-75,-63,-58,-61,-100,-100,1
-100,-64,-55,-100,-100,-91,0
-81,-100,-57,-60,-88,-100,1
-78,-65,-62,-60,-100,-100,1
-72,-100,-54,-60,-100,-91,0
-72,-66,-55,-100,-100,-100,1
-79,-100,-60,-68,-92,-100,1
-75,-64,-55,-63,-100,-100,1
-75,-64,-56,-62,-100,-88,0
-82,-100,-56,-62,-100,-100,1
-71,-100,-63,-62,-100,-100,1
-79,-55,-53,-100,-100,-85,2
-85,-100,-48,-100,-100,-88,2
-82,-65,-58,-100,-100,-89,2
-69,-100,-53,-58,-100,-90,0
-77,-55,-60,-62,-93,-100,1
-84,-54,-63,-64,-100,-100,1
-82,-100,-58,-63,-93,-100,1
-84,-59,-58,-63,-100,-100,1
-70,-100,-51,-58,-100,-100,0
-76,-64,-57,-61,-100,-100,1
-86,-55,-60,-64,-91,-100,1
-77,-55,-55,-100,-100,-92,2
-84,-54,-56,-62,-100,-100,1
-72,-100,-53,-59,-100,-100,0
-74,-100,-52,-57,-100,-100,0
-69,-100,-53,-59,-89,-100,0
-77,-100,-54,-100,-91,-100,2
-69,-56,-53,-100,-88,-87,2
-72,-64,-60,-61,-89,-100,1
-81,-100,-61,-63,-91,-100,1
-73,-100,-55,-57,-89,-85,0
-71,-100,-54,-60,-100,-90,0
-72,-100,-54,-59,-94,-88,0
-78,-100,-58,-60,-89,-100,1
-83,-55,-59,-62,-100,-86,1
-70,-64,-52,-58,-100,-100,0
-75,-58,-57,-100,-88,-100,2
-78,-100,-57,-65,-89,-100,1
-82,-100,-52,-100,-100,-87,2
-74,-52,-54,-61,-88,-100,1
-76,-100,-58,-64,-88,-100,1
-74,-100,-48,-100,-87,-82,2
-80,-54,-58,-62,-100,-88,1
-77,-100,-52,-100,-90,-88,2
-77,-100,-58,-60,-91,-100,1
-77,-62,-56,-61,-90,-84,0
-100,-62,-55,-100,-100,-90,0
-76,-63,-57,-63,-90,-89,0
-74,-63,-55,-61,-93,-87,0
-78,-60,-54,-60,-100,-87,1
-84,-65,-55,-62,-100,-100,0
-73,-55,-54,-100,-100,-100,2
-100,-63,-52,-100,-86,-85,0
-100,-62,-57,-100,-90,-88,0
-80,-54,-66,-62,-91,-100,1
-74,-57,-54,-100,-100,-90,2
-84,-100,-47,-100,-100,-100,2
-82,-100,-51,-100,-90,-90,2
-69,-100,-53,-100,-100,-87,0
-71,-100,-53,-58,-90,-100,0
-77,-56,-67,-69,-100,-100,1
-72,-60,-54,-100,-90,-100,2
-73,-56,-55,-100,-87,-85,2
-82,-100,-52,-100,-87,-100,2
-86,-100,-51,-100,-90,-88,2
-76,-64,-55,-62,-100,-100,0
-70,-100,-52,-57,-100,-100,0
-71,-55,-56,-100,-91,-100,2
-72,-100,-52,-58,-96,-89,0
-75,-65,-56,-63,-100,-100,0
-79,-62,-52,-62,-100,-100,0
-72,-100,-53,-60,-100,-100,0
-80,-51,-59,-61,-89,-100,1
-74,-100,-52,-60,-88,-86,0
-100,-62,-51,-100,-88,-88,0
-71,-100,-53,-58,-100,-85,0
-74,-63,-55,-63,-88,-85,0
-81,-100,-54,-100,-100,-90,2
-71,-100,-53,-100,-100,-100,2
-74,-100,-60,-100,-100,-90,2
-72,-100,-55,-57,-100,-87,0
-78,-100,-55,-62,-100,-100,1
-72,-100,-56,-100,-94,-89,2
-100,-62,-55,-100,-90,-86,0
-77,-63,-54,-63,-91,-100,0
-73,-100,-55,-59,-100,-100,0
-71,-62,-52,-60,-100,-88,0
-77,-57,-59,-100,-100,-89,2
-73,-58,-53,-100,-100,-91,2
-76,-59,-59,-100,-91,-100,2
-85,-100,-57,-64,-100,-87,1
-100,-63,-54,-100,-89,-100,0
-82,-100,-57,-63,-100,-100,1
-85,-52,-60,-61,-90,-100,1
-79,-100,-56,-62,-90,-88,1
-72,-100,-52,-58,-100,-100,0
-100,-64,-55,-100,-88,-86,0
-78,-63,-56,-61,-88,-100,1
-69,-62,-54,-100,-90,-90,2
-81,-54,-60,-64,-100,-100,1
-77,-58,-59,-100,-90,-89,2
-81,-100,-56,-62,-100,-85,1
-75,-63,-53,-61,-100,-100,1
-81,-57,-57,-63,-100,-100,1
-78,-56,-63,-62,-91,-87,1
-72,-54,-61,-100,-89,-87,2
-86,-57,-54,-100,-100,-89,2
-73,-61,-56,-61,-100,-87,0
-100,-100,-53,-100,-100,-100,2
-70,-59,-54,-58,-100,-100,0
-70,-57,-53,-100,-100,-87,2
-72,-100,-52,-57,-100,-86,0
-75,-63,-56,-62,-100,-89,0
-71,-56,-57,-100,-100,-84,2
-68,-61,-55,-63,-100,-100,1
-100,-60,-52,-100,-89,-85,0
-70,-60,-53,-59,-88,-100,0
-71,-62,-62,-61,-100,-100,1
-76,-100,-59,-60,-88,-100,1
-73,-55,-57,-100,-100,-100,2
-76,-64,-56,-62,-93,-87,0
-77,-54,-57,-62,-100,-100,1
-74,-55,-60,-65,-100,-100,1
-79,-61,-58,-62,-100,-100,1
-76,-100,-51,-100,-87,-84,2
-70,-100,-53,-60,-100,-100,0
-85,-57,-52,-100,-100,-84,2
-73,-56,-65,-100,-95,-100,2
-77,-60,-57,-100,-100,-100,2
-77,-100,-54,-100,-100,-89,2
-74,-100,-52,-57,-90,-87,0
-70,-100,-51,-58,-95,-100,0
-80,-67,-56,-100,-92,-100,2
-75,-56,-57,-100,-91,-100,2
-83,-65,-56,-62,-86,-100,0
-70,-100,-54,-62,-100,-89,0
-76,-62,-56,-61,-100,-100,0
-77,-65,-56,-61,-100,-100,0
-75,-56,-60,-100,-87,-82,2
-75,-63,-56,-62,-88,-100,0
-77,-55,-58,-100,-87,-84,2
-71,-63,-52,-58,-89,-88,0
-73,-100,-52,-58,-88,-100,0
-73,-100,-54,-61,-100,-89,0
-76,-63,-57,-61,-92,-100,0
-72,-100,-53,-58,-100,-89,0
-80,-100,-48,-100,-93,-88,2
-70,-62,-57,-100,-100,-86,2
-79,-100,-54,-100,-90,-100,2
-77,-100,-54,-61,-100,-100,1
-83,-100,-52,-100,-84,-100,2
-100,-60,-53,-100,-100,-100,0
-74,-57,-53,-100,-88,-84,2
-76,-64,-56,-62,-100,-100,0
-73,-65,-58,-100,-87,-85,2
-100,-100,-53,-100,-100,-84,2
-77,-58,-61,-62,-92,-100,1
-72,-46,-53,-100,-88,-88,2
-79,-54,-56,-60,-100,-100,1
-76,-100,-56,-100,-92,-89,2
-75,-64,-56,-60,-100,-100,0
-76,-63,-56,-61,-100,-100,0
-83,-100,-57,-62,-90,-100,1
-76,-65,-58,-62,-100,-100,0
-70,-64,-55,-61,-100,-100,1
