Chamidi1,NipunaM6,IsuruAp6,Sandali11,UoM_Wireless11,UNIC-wifi11,id
-74,-62,-48,-64,-94,-90,0
-75,-64,-56,-62,-92,-89,0
-76,-64,-58,-65,-92,-89,0
-78,-62,-57,-65,-89,-87,1
-80,-56,-56,-100,-91,-84,2
-71,-63,-55,-63,-89,-87,0
-73,-63,-54,-61,-89,-89,0
-77,-62,-63,-64,-92,-89,0
-78,-62,-57,-60,-90,-87,1
-67,-64,-62,-60,-89,-85,0
-72,-63,-51,-59,-94,-87,0
-84,-53,-51,-62,-87,-87,1
-76,-56,-55,-100,-91,-87,2
-76,-56,-57,-100,-90,-88,2
-74,-63,-53,-60,-90,-87,1
-71,-56,-53,-100,-91,-84,2
-72,-54,-61,-100,-89,-87,2
-73,-63,-52,-57,-90,-87,0
-75,-63,-56,-62,-88,-89,0
-72,-63,-56,-59,-89,-87,0
-73,-57,-61,-100,-87,-87,2
-76,-63,-53,-64,-89,-85,0
-75,-64,-52,-62,-92,-89,0
-69,-63,-50,-58,-89,-87,0
-74,-63,-54,-64,-89,-85,0
-77,-56,-67,-69,-91,-87,1
-72,-63,-52,-57,-89,-86,0
-73,-65,-66,-61,-88,-86,1
-75,-63,-58,-61,-90,-87,1
-76,-62,-58,-64,-88,-87,1
-86,-57,-54,-100,-91,-89,2
-76,-56,-56,-100,-92,-89,2
-79,-62,-57,-62,-90,-87,1
-77,-62,-58,-62,-94,-87,1
-75,-57,-58,-100,-91,-87,2
-100,-61,-52,-100,-92,-88,2
-72,-63,-55,-59,-90,-89,0
-74,-63,-53,-63,-89,-85,0
-78,-53,-62,-61,-91,-87,1
-77,-65,-56,-61,-92,-89,0
-74,-63,-55,-62,-91,-84,0
-75,-56,-56,-100,-91,-87,2
-70,-63,-53,-58,-89,-87,0
-75,-56,-52,-100,-91,-87,2
-72,-57,-55,-100,-92,-87,2
-71,-63,-52,-59,-89,-89,0
-71,-64,-56,-60,-89,-89,0
-75,-62,-51,-63,-89,-85,0
-70,-63,-53,-60,-89,-87,0
-82,-63,-56,-61,-90,-87,1
-73,-62,-57,-62,-90,-87,1
-74,-63,-52,-58,-91,-89,0
-70,-63,-53,-58,-89,-84,0
-72,-64,-53,-61,-89,-87,0
-72,-63,-54,-62,-89,-87,0
-70,-60,-57,-100,-91,-87,2
-75,-57,-56,-100,-94,-88,2
-75,-64,-55,-60,-88,-87,1
-80,-54,-58,-62,-90,-88,1
-70,-63,-55,-59,-91,-87,0
-70,-64,-56,-63,-91,-87,1
-72,-63,-54,-59,-94,-88,0
-74,-61,-55,-64,-89,-89,0
-78,-62,-55,-62,-93,-86,0
-78,-63,-55,-100,-90,-87,1
-71,-65,-54,-60,-93,-87,0
-76,-56,-53,-100,-91,-87,2
-74,-56,-48,-100,-87,-82,2
-80,-56,-55,-100,-91,-87,2
-73,-65,-57,-100,-87,-87,1
-84,-54,-63,-64,-91,-87,1
-84,-64,-55,-62,-92,-89,0
-85,-63,-51,-58,-88,-85,0
-72,-63,-54,-60,-89,-87,0
-73,-56,-53,-100,-91,-87,2
-82,-63,-56,-62,-92,-89,0
-77,-62,-57,-64,-88,-87,1
-71,-64,-54,-60,-89,-87,0
-78,-62,-59,-62,-90,-87,1
-77,-56,-47,-100,-91,-87,2
-70,-59,-54,-58,-89,-87,0
-76,-64,-55,-62,-92,-89,0
-86,-56,-51,-100,-90,-88,2
-76,-65,-59,-64,-92,-89,0
-77,-63,-54,-63,-91,-85,0
-74,-52,-54,-61,-88,-87,1
-70,-56,-56,-100,-87,-87,2
-76,-64,-55,-62,-92,-89,0
-73,-58,-57,-100,-91,-87,2
-78,-61,-56,-61,-90,-87,1
-71,-63,-54,-58,-94,-87,0
-82,-56,-51,-100,-90,-90,2
-77,-62,-56,-61,-90,-84,0
-100,-62,-58,-62,-89,-88,1
-71,-63,-54,-59,-89,-91,0
-70,-63,-54,-58,-90,-84,0
-85,-56,-48,-100,-91,-88,2
-80,-55,-63,-64,-91,-87,1
-74,-54,-52,-100,-89,-87,2
-74,-63,-56,-61,-87,-89,0
-74,-63,-58,-59,-89,-87,0
-77,-54,-61,-65,-90,-87,1
-72,-63,-57,-62,-92,-88,0
-74,-62,-55,-61,-92,-89,0
-73,-58,-54,-100,-91,-87,2
-85,-56,-53,-100,-91,-86,2
-77,-62,-57,-63,-90,-87,1
-74,-64,-54,-60,-90,-89,0
-74,-57,-63,-100,-92,-88,2
-75,-56,-55,-100,-89,-87,2
-76,-62,-59,-60,-88,-87,1
-70,-63,-52,-58,-89,-86,0
-78,-62,-54,-63,-90,-87,1
-81,-62,-61,-63,-91,-87,1
-100,-56,-53,-100,-91,-87,2
-70,-63,-55,-58,-89,-90,0
-74,-61,-52,-64,-89,-88,0
-71,-63,-52,-58,-89,-88,0
-75,-63,-56,-62,-93,-89,0
-86,-55,-60,-64,-91,-87,1
-100,-63,-53,-60,-89,-87,0
-75,-63,-56,-62,-92,-89,0
-71,-56,-51,-100,-97,-87,2
-71,-55,-55,-100,-88,-84,2
-72,-59,-58,-100,-86,-87,2
-71,-64,-54,-60,-93,-89,0
-70,-56,-48,-100,-91,-87,2
-68,-61,-55,-63,-90,-87,1
-78,-62,-55,-62,-90,-87,1
-74,-59,-55,-64,-89,-88,0
-74,-65,-55,-64,-89,-82,0
-72,-63,-55,-57,-89,-86,0
-76,-52,-59,-62,-90,-87,1
-100,-62,-56,-62,-92,-87,1
-76,-64,-55,-62,-88,-89,0
-74,-61,-53,-64,-89,-85,0
-73,-56,-53,-100,-87,-84,2
-71,-63,-54,-58,-89,-87,0
-74,-55,-57,-100,-91,-88,2
-77,-62,-58,-62,-90,-87,1
-76,-56,-51,-100,-89,-85,2
-74,-53,-53,-100,-93,-89,2
-75,-56,-57,-100,-91,-87,2
-83,-62,-57,-61,-90,-87,1
-79,-62,-52,-62,-89,-85,0
-89,-56,-52,-100,-91,-87,2
-79,-59,-54,-100,-91,-87,2
-75,-56,-53,-100,-89,-87,2
-74,-60,-53,-64,-89,-87,0
-81,-55,-59,-60,-90,-87,1
-86,-56,-54,-100,-91,-87,2
-71,-63,-56,-100,-90,-87,1
-76,-50,-54,-100,-91,-87,2
-87,-58,-53,-64,-89,-85,0
-70,-63,-53,-58,-89,-87,0
-70,-63,-52,-57,-89,-87,0
-71,-63,-54,-60,-89,-87,0
-72,-63,-54,-62,-89,-88,0
-74,-63,-53,-64,-90,-85,0
-83,-63,-55,-60,-90,-87,1
-71,-63,-52,-58,-89,-87,0
-74,-60,-52,-64,-89,-84,0
-74,-65,-59,-64,-92,-89,0
-74,-58,-58,-100,-93,-87,2
-78,-54,-59,-61,-90,-87,1
-85,-52,-60,-61,-90,-87,1
-100,-56,-55,-100,-91,-87,2
-74,-56,-56,-100,-89,-85,2
-70,-63,-52,-59,-86,-87,0
-74,-56,-55,-100,-91,-89,2
-75,-62,-57,-59,-88,-87,1
-78,-64,-54,-60,-92,-87,1
-78,-53,-59,-62,-90,-87,1
-75,-59,-58,-100,-90,-85,2
-74,-63,-52,-57,-89,-87,0
-88,-57,-57,-100,-91,-87,2
-75,-66,-58,-64,-92,-84,0
-82,-62,-57,-62,-90,-87,1
-79,-59,-56,-100,-91,-87,2
-71,-62,-57,-62,-90,-87,1
-73,-63,-53,-59,-89,-84,0
-78,-57,-60,-63,-90,-87,1
-82,-62,-56,-62,-90,-87,1
-77,-56,-56,-100,-95,-87,2
-81,-62,-58,-60,-91,-87,1
-71,-62,-63,-62,-90,-87,1
-83,-62,-57,-62,-90,-87,1
-76,-57,-56,-100,-91,-87,2
-73,-57,-59,-100,-95,-87,2
-75,-65,-56,-62,-94,-89,0
-74,-56,-54,-100,-91,-87,2
-100,-56,-52,-100,-91,-87,2
-77,-56,-54,-100,-91,-89,2
-74,-63,-49,-64,-89,-89,0
-78,-62,-58,-60,-89,-87,1
-74,-62,-55,-64,-91,-85,0
-83,-56,-52,-100,-91,-85,2
-67,-60,-58,-100,-90,-87,2
-83,-55,-59,-62,-90,-86,1
-73,-64,-58,-61,-92,-88,0
-79,-56,-51,-100,-91,-87,2
-70,-65,-57,-61,-90,-90,1
-78,-63,-54,-59,-90,-87,0
-83,-57,-59,-62,-90,-87,1
-82,-55,-50,-100,-91,-87,2
-70,-68,-51,-62,-89,-87,0
-78,-56,-54,-100,-89,-86,2
-84,-56,-47,-100,-91,-87,2
-79,-62,-57,-63,-89,-87,1
-70,-63,-51,-57,-89,-86,0
-79,-51,-60,-61,-90,-87,1
-74,-61,-54,-64,-89,-85,0
-75,-64,-55,-63,-90,-87,1
-74,-61,-53,-64,-89,-85,0
-83,-65,-56,-62,-86,-89,0
-71,-63,-54,-58,-89,-91,0
-70,-64,-54,-59,-93,-88,2
-74,-62,-55,-61,-91,-87,1
-74,-61,-54,-64,-89,-88,0
-75,-64,-56,-62,-92,-89,0
-76,-65,-56,-62,-92,-89,0
-100,-54,-58,-62,-90,-89,1
-74,-62,-55,-64,-89,-91,0
-70,-56,-56,-100,-91,-88,2
-78,-60,-54,-60,-90,-87,1
-70,-63,-52,-59,-92,-87,0
-72,-56,-52,-100,-91,-87,2
-74,-62,-53,-64,-89,-89,0
-75,-58,-57,-100,-88,-87,2
-74,-64,-55,-62,-92,-89,0
-66,-61,-53,-59,-93,-88,2
-74,-62,-55,-64,-90,-86,0
-69,-63,-53,-58,-89,-90,0
-76,-59,-59,-100,-91,-87,2
-74,-63,-52,-64,-86,-85,0
-69,-66,-52,-59,-92,-88,2
-74,-56,-53,-100,-88,-85,2
-74,-62,-53,-64,-89,-85,0
-70,-63,-52,-58,-89,-88,0
-78,-65,-62,-60,-91,-87,1
-76,-62,-56,-62,-92,-87,1
-72,-63,-52,-59,-89,-87,0
-80,-60,-56,-63,-90,-87,1
-81,-56,-48,-100,-92,-87,2
-76,-57,-55,-100,-93,-87,2
-74,-53,-55,-100,-92,-90,2
-75,-63,-53,-61,-90,-87,1
-75,-51,-60,-63,-91,-87,1
-75,-56,-52,-100,-91,-86,2
-73,-56,-55,-100,-94,-87,2
-70,-63,-55,-59,-89,-87,0
-78,-57,-56,-100,-91,-87,2
-74,-63,-55,-61,-93,-87,0
-74,-63,-55,-63,-88,-85,0
-71,-63,-55,-59,-90,-87,0
-74,-64,-55,-65,-89,-82,0
-84,-65,-55,-62,-92,-89,0
-87,-56,-56,-100,-91,-94,2
-74,-57,-54,-100,-91,-90,2
-77,-56,-52,-100,-89,-88,2
-75,-64,-56,-60,-92,-89,0
-71,-62,-52,-60,-89,-88,0
-71,-63,-53,-62,-89,-87,0
-74,-62,-53,-64,-89,-85,0
-74,-60,-52,-64,-89,-85,0
-79,-63,-56,-59,-88,-88,2
-77,-65,-57,-62,-92,-89,0
-71,-63,-54,-60,-89,-90,0
-72,-56,-51,-100,-91,-85,2
-76,-56,-55,-100,-91,-86,2
-74,-63,-52,-57,-90,-87,0
-72,-63,-54,-60,-89,-87,0
-70,-63,-53,-59,-89,-89,0
-100,-56,-53,-100,-91,-84,2
-77,-62,-53,-64,-89,-85,0
-78,-56,-54,-100,-91,-88,2
-73,-57,-53,-100,-91,-89,2
-71,-63,-53,-59,-89,-88,0
-71,-63,-54,-58,-89,-87,0
-77,-55,-60,-62,-93,-87,1
-78,-52,-59,-60,-90,-87,1
-84,-62,-57,-61,-91,-87,1
-78,-62,-56,-66,-91,-87,1
-75,-63,-53,-60,-86,-87,0
-74,-54,-59,-100,-94,-88,2
-81,-56,-52,-100,-91,-87,2
-74,-64,-51,-64,-89,-87,0
-75,-63,-56,-64,-91,-87,1
-75,-64,-56,-62,-92,-88,0
-74,-62,-53,-64,-89,-85,0
-78,-53,-60,-62,-90,-87,1
-80,-54,-59,-64,-90,-87,1
-77,-58,-59,-100,-90,-89,2
-73,-63,-53,-58,-89,-83,0
-69,-57,-57,-100,-90,-87,2
-78,-62,-58,-63,-92,-87,1
-79,-54,-64,-62,-91,-87,1
-72,-46,-53,-100,-88,-88,2
-71,-63,-52,-60,-89,-91,0
-77,-63,-55,-61,-92,-86,0
-81,-62,-57,-62,-86,-87,1
-76,-58,-51,-100,-88,-83,2
-74,-61,-55,-64,-89,-85,0
-77,-64,-54,-62,-90,-87,1
-75,-63,-56,-72,-90,-87,1
-71,-62,-54,-61,-90,-87,1
-75,-64,-55,-63,-92,-89,0
-70,-63,-51,-58,-89,-87,0
-73,-56,-54,-100,-91,-88,2
-82,-62,-57,-63,-90,-87,1
-76,-61,-57,-61,-90,-87,1
-79,-54,-58,-61,-89,-87,1
-71,-69,-57,-59,-90,-88,2
-85,-71,-54,-59,-93,-88,2
-77,-58,-61,-62,-92,-87,1
-100,-64,-55,-62,-91,-83,0
-77,-55,-58,-100,-87,-84,2
-73,-63,-56,-62,-89,-87,0
-74,-60,-55,-64,-92,-89,0
-73,-63,-64,-100,-91,-86,2
-72,-61,-56,-63,-90,-87,1
-80,-62,-58,-60,-87,-87,1
-75,-64,-55,-62,-90,-87,1
-80,-62,-53,-100,-91,-87,2
-73,-63,-56,-58,-89,-87,0
-66,-62,-56,-59,-90,-88,2
-75,-56,-55,-100,-91,-87,2
-75,-57,-56,-62,-90,-87,1
-80,-54,-66,-62,-91,-87,1
-77,-56,-53,-100,-91,-87,2
-75,-62,-57,-63,-90,-87,1
-73,-63,-55,-57,-89,-85,0
-77,-62,-54,-62,-92,-89,0
-75,-68,-55,-60,-90,-87,1
-83,-55,-58,-61,-90,-87,1
-72,-63,-55,-57,-89,-88,0
-85,-65,-56,-61,-91,-87,1
-77,-62,-60,-62,-90,-87,1
-80,-59,-55,-100,-91,-87,2
-70,-63,-52,-60,-92,-88,0
-72,-56,-57,-100,-91,-87,2
-79,-62,-60,-68,-92,-87,1
-75,-52,-60,-62,-90,-84,1
-84,-63,-54,-64,-92,-89,0
-71,-56,-57,-100,-91,-84,2
-71,-63,-53,-61,-94,-88,0
-73,-62,-57,-100,-91,-87,1
-70,-63,-100,-66,-89,-87,2
-73,-63,-53,-58,-94,-84,0
-80,-57,-57,-100,-92,-90,2
-81,-54,-62,-63,-93,-87,1
-76,-63,-57,-61,-92,-89,0
-76,-64,-56,-62,-93,-87,0
-84,-54,-56,-62,-90,-87,1
-79,-56,-51,-100,-91,-85,2
-73,-55,-54,-100,-91,-86,2
-73,-63,-54,-60,-89,-87,0
-72,-56,-52,-100,-91,-89,2
-80,-56,-53,-100,-92,-87,2
-82,-56,-52,-100,-87,-87,2
-84,-50,-59,-63,-89,-87,1
-100,-56,-54,-100,-87,-85,2
-81,-54,-60,-64,-90,-87,1
-76,-58,-51,-100,-92,-87,2
-74,-62,-52,-63,-90,-87,1
-75,-55,-67,-100,-90,-90,2
-73,-63,-52,-58,-88,-87,0
-78,-60,-58,-62,-90,-87,1
-70,-57,-57,-100,-93,-89,2
-70,-65,-55,-60,-89,-90,0
-70,-63,-51,-58,-95,-87,0
-75,-64,-56,-62,-89,-89,0
-78,-56,-61,-59,-86,-87,1
-81,-59,-58,-100,-89,-87,2
-76,-64,-56,-61,-92,-88,0
-71,-64,-52,-59,-89,-87,0
-74,-62,-53,-64,-89,-89,0
